Price Chopper,42.1080545,-75.9361955,"10 Glenwood Ave, Binghamton",4.1,712
Pacific Primes Food,42.1040576,-75.87468179999999,"508 Court St, Binghamton",1.8,11
USA MARKET,42.10340360000001,-75.9254906,"33 Edwards St, Binghamton",4.2,63
Weis Markets,42.0861318,-75.9171089,"50 Pennsylvania Ave, Binghamton",4,406
Weis Markets,42.0972343,-75.8888861,"307 Conklin Ave, Binghamton",3.8,358
Ez Food Mart,42.115778,-75.94119100000002,"333 Prospect St, Binghamton",3.8,16
Hang Phat Market,42.1084251,-75.93932149999999,"278 Main St, Binghamton",4.6,28
Northside Deli & Grocery,42.1172168,-75.90200770000001,"511 Chenango St, Binghamton",4.5,92
European Market,42.1153401,-75.9420319,"20 Downs Ave, Binghamton",4.6,19
Euro food,42.1082974,-75.9377506,"9 Glenwood Ave, Binghamton",4.7,41
Lone Maple Farm,42.0696983,-75.9225311,"2001 Hawleyton Rd, Binghamton",4.1,23
The Local Express Mart,42.0939012,-75.901838,"157 Conklin Ave, Binghamton",4.3,10
Cavanaugh's Grocery & Deli,42.0956433,-75.92631759999999,"69 Leroy St, Binghamton",4.6,38
Weis Markets,42.1065887,-75.8891584,"160 Robinson St, Binghamton",4,740
Asia Food Store,42.1048484,-75.9325965,"200 Main St, Binghamton",3.6,47
A1 Halal Meat Groceries,42.0992035,-75.92101199999999,"59 Main St, Binghamton",4.4,58
Best Indian Grocery,42.1043465,-75.9318713,"188 Main St, Binghamton",4,42
